site_no,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_meth_cd,coord_acy_cd,coord_datum_cd,dec_coord_datum_cd,district_cd,state_cd,county_cd,country_cd,land_net_ds,map_nm,map_scale_fc,alt_va,alt_meth_cd,alt_acy_va,alt_datum_cd,huc_cd,basin_cd,topo_cd,data_types_cd,instruments_cd,construction_dt,inventory_dt,tz_cd,local_time_fg,reliability_cd,gw_file_cd,nat_aqfr_cd,aqfr_cd,aqfr_type_cd,well_depth_va,hole_depth_va,depth_src_cd,project_no,rt_bol,peak_begin_date,peak_end_date,peak_count_nu,qw_begin_date,qw_end_date,qw_count_nu,gw_begin_date,gw_end_date,gw_count_nu,sv_begin_date,sv_end_date,sv_count_nu
424825088223301,424825088223301,WW-04/18E/16-0427,GW,42.8069587,-88.3759285,M,S,NAD27,NAD83,55,55,127,US,SESENWS16 T004N R018E 4,EAST TROY,24000,835.0,M,2.0,NGVD29,7120006,,D,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19640301.0,,CST,Y,C,YYYYNNNN,N100GLCIAL,110QRNR,,325.0,325.0,D,,0,--,--,0,1965-05-28,1965-05-28,1,1964-03-01,1964-03-01,1,--,--,0
424829088223501,424829088223501,WW-04/18E/16-0058,GW,42.8080698,-88.376484,M,S,NAD27,NAD83,55,55,127,US,SESENWS16 T004N R018E 4,EAST TROY,24000,823.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYYYNNNN,N100GLCIAL,,,115.0,115.0,D,,0,--,--,0,--,--,0,1950-01-01,1950-01-01,1,--,--,0
424836088275801,424836088275801,WW-04/17E/15-0399,GW,42.8100133,-88.4662092,M,S,NAD27,NAD83,55,55,127,US,NESENES15 T004N R017E 4,EAST TROY,24000,893.0,M,2.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19561001.0,,CST,Y,C,YYYYNNNN,N400SLRDVN,350SLRN,,364.0,364.0,D,,0,--,--,0,1965-05-28,1965-05-28,1,1965-05-28,1965-05-28,1,--,--,0
424844088232901,424844088232901,WW-04/18E/17-0595,GW,42.81223625,-88.3914845,M,S,NAD27,NAD83,55,55,127,US,SENWNES1  T004N R018E 4,EAST TROY,24000,875.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYYYNNNN,,,,320.0,320.0,,,0,--,--,0,--,--,0,1970-12-01,1970-12-01,1,--,--,0
424854088275801,424854088275801,WW-04/17E/10-0006,GW,42.8150132,-88.4662092,M,S,NAD27,NAD83,55,55,127,US,  SESES10 T004N R017E 4,EAST TROY,24000,893.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYNNNNNN,,,,420.0,420.0,,,0,--,--,0,--,--,0,1947-04-01,1947-04-01,1,--,--,0
424855088290801,424855088290801,WW-04/17E/09-0403,GW,42.8152908,-88.4856542,M,F,NAD27,NAD83,55,55,127,US,SESESES09 T004N R017E 4,EAST TROY,24000,915.0,M,5.0,NGVD29,7120006,,P,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19611101.0,,CST,Y,C,YYYYNNNN,N100GLCIAL,110QRNR,,145.0,145.0,D,,0,--,--,0,1972-04-12,1972-04-12,1,1961-11-01,1961-11-01,1,--,--,0
424918088304301,424918088304301,WW-04/17E/17-0741,GW,42.82167928,-88.51204389,M,F,NAD27,NAD83,55,55,127,US,  NWNES17 T004N R017E 4,LITTLE PRAIRIE,24000,910.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,,,,146.0,146.0,,,0,--,--,0,--,--,0,1980-03-18,1980-03-18,1,--,--,0
424923088263401,424923088263401,WW-04/17E/12-0407,GW,42.82306886,-88.4428751,M,F,NAD27,NAD83,55,55,127,US,NWSWNWS12 T004N R017E 4,EAST TROY,24000,895.0,M,5.0,NGVD29,7120006,,U,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19590301.0,,CST,Y,C,YYYYNNNN,N100GLCIAL,110QRNR,,260.0,260.0,D,,0,--,--,0,1972-04-14,1976-08-31,3,1959-03-01,1959-03-01,1,--,--,0
425006088271501,425006088271501,WW-04/17E/02-0908,GW,42.83501297,-88.4542644,M,S,NAD27,NAD83,55,55,127,US,NENESWS2  T4N   R17E,EAST TROY,24000,845.0,M,5.0,NGVD29,7120006,,,ANNNNNNNNNNNNNNNNNNNNNNNNNNNNA,NNNNNNNNNNYYNNNNNNNNNNNNNNNNNN,19850409.0,19950601.0,CST,Y,C,YYYYNYNN,N100GLCIAL,100SDGV,U,85.0,85.0,D,445500200.0,0,--,--,0,--,--,0,2001-11-08,2016-05-25,52,--,--,0
425007088231001,425007088231001,WW-04/18E/05-0581,GW,42.8352914,-88.3862067,M,S,NAD27,NAD83,55,55,127,US,  SENES05 T004N R018E 4,EAST TROY,24000,821.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,C,YYNYNNNN,,,,115.0,115.0,,,0,--,--,0,--,--,0,1966-10-17,1966-10-17,1,--,--,0
425013088322001,425013088322001,WW-04/17E/06-0406,GW,42.83695639,-88.538989,M,S,NAD27,NAD83,55,55,127,US,SWNWNWS06 T004N R017E 4,LITTLE PRAIRIE,24000,958.0,M,2.0,NGVD29,7120006,,F,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19550301.0,,CST,Y,C,YYYYNNNN,N100GLCIAL,110QRNR,,154.0,154.0,D,,0,--,--,0,1965-04-28,1965-04-28,1,1955-03-01,1955-03-01,1,--,--,0
425018088194901,425018088194901,WW-04/18E/02-0450,GW,42.83834746,-88.3303716,M,F,NAD27,NAD83,55,55,127,US,NWSENES02 T004N R018E 4,MUKWONAGO,24000,845.0,M,5.0,NGVD29,7120006,,S,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,19561201.0,,CST,Y,C,YYYYNNNN,N400SLRDVN,350SLRN,,81.0,81.0,D,,0,--,--,0,1972-04-12,1972-04-12,1,1956-12-01,1956-12-01,1,--,--,0
425128088293501,425128088293501,WK-05/17E/28-1234,GW,42.8577899,-88.4931544,M,F,NAD27,NAD83,55,55,133,US,SWSWSES28 T005N R017E 4,EAST TROY,24000,922.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,240.0,240.0,,,0,--,--,0,--,--,0,1980-07-14,1980-07-14,1,--,--,0
425141088292101,425141088292101,WK-05/17E/28-1236,GW,42.861401,-88.4892654,M,F,NAD27,NAD83,55,55,133,US,SENWSES28 T005N R017E 4,EAST TROY,24000,930.0,M,5.0,NGVD29,7120006,,,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,,,CST,Y,U,YYYYNNNN,S300CAMORD,,,250.0,250.0,,,0,--,--,0,--,--,0,1980-06-20,1980-06-20,1,--,--,0
